physician.familyMedicine.clinicalPharmacologyFamilyMedicine,clinicalPharmacologyFamilyMedicine,Clinical Pharmacology - Family Medicine,0ee47124-4ef0-48b0-bc9c-fc7227481be1,5,FALSE
physician.familyMedicine.emergencyMedicine,emergencyMedicine,Emergency Medicine,b83d1423-5336-4203-af4f-22f60e19a41b,6,FALSE
physician.familyMedicine.generalFamilyMedicine,generalFamilyMedicine,General Family Medicine,25fe2e6e-2c7a-4661-aa6f-ea6ec7d8c892,0,FALSE
physician.familyMedicine.geriatricMedicine,geriatricMedicine,Geriatric Medicine,e692f5ab-b592-49f9-9105-d953e6638213,7,FALSE
physician.familyMedicine.hIVAIDSMedicine,hIVAIDSMedicine,HIV/AIDS Medicine,e055be17-9017-4c5c-9640-55920f7edc4f,8,FALSE
physician.familyMedicine.headacheMedicine,headacheMedicine,Headache Medicine,970ed957-b2af-48aa-beea-2e5c13248a3e,9,FALSE
physician.familyMedicine.healthAndCulture,healthAndCulture,Health and Culture,2c9916af-7ebc-4d99-832f-58ff8cc728ab,10,FALSE
physician.familyMedicine.healthcareResearchAndHealthcarePolicy,healthcareResearchAndHealthcarePolicy,Healthcare Research and Healthcare Policy,b8d23ff6-05da-40d4-8013-035a7892704b,11,FALSE
physician.familyMedicine.hospiceAndPalliativeMedicine,hospiceAndPalliativeMedicine,Hospice & Palliative Medicine,6d8813ba-40ca-4baa-ae1e-cea2234f620b,12,FALSE
physician.familyMedicine.hospitalMedicineHospitalist,hospitalMedicineHospitalist,Hospital Medicine / Hospitalist,cc8539a4-4eb1-4103-b6c3-1598e01ab856,13,FALSE
physician.familyMedicine.hospitalPediatricsPediatricHospitalist,hospitalPediatricsPediatricHospitalist,Hospital Pediatrics / Pediatric Hospitalist,9f2b2729-56b3-4ae5-8943-8cd8b86df8b5,14,FALSE
physician.familyMedicine.obesityAndWeightManagementPrimaryCare,obesityAndWeightManagementPrimaryCare,Obesity and Weight Management (Primary Care),06a68535-397c-43a3-bfcb-0a17e7452ecd,15,FALSE
physician.familyMedicine.obstetrics,obstetrics,Obstetrics,be40cf04-4779-4234-88bc-2a777685f082,16,FALSE
physician.familyMedicine.occupationalMedicine,occupationalMedicine,Occupational Medicine,220b8da8-0535-46fc-a6b7-a41fa046c0a1,17,FALSE
physician.familyMedicine.preventiveMedicine,preventiveMedicine,Preventive Medicine,ae22a7a8-c76f-4d06-81b5-0840af45693d,18,FALSE
physician.familyMedicine.sportsMedicineNonsurgical,sportsMedicineNonsurgical,Sports Medicine (Non surgical),b5898b2b-5c4b-4055-87f9-7434a7ee0b35,19,FALSE
physician.familyMedicine.urgentCare,urgentCare,Urgent Care,af870685-7704-4727-b3b5-9af63b48aa5d,20,FALSE
physician.familyMedicine.womensHealth,womensHealth,Women's Health,7a10c189-b5a3-4a48-91ae-db7d7e756b89,21,FALSE
physician.gastroenterology,gastroenterology,Gastroenterology,76c46eae-ca64-47a7-8740-9776292602fc,11,FALSE
physician.gastroenterology.advancedEndoscopicInterventional,advancedEndoscopicInterventional,Advanced Endoscopic Interventional,9ca3deaf-d7ef-4a18-9f54-6507aa75efe4,1,FALSE
physician.gastroenterology.bariatricMedicine,bariatricMedicine,Bariatric Medicine,3119b33d-34b8-44e1-9d4f-d319f6abaadb,2,FALSE
physician.gastroenterology.biliaryTractDisease,biliaryTractDisease,Biliary Tract Disease,cfbc629a-016f-4477-acb6-0ffd27594c4d,3,FALSE
physician.gastroenterology.clinicalPharmacologyGastroenterology,clinicalPharmacologyGastroenterology,Clinical Pharmacology - Gastroenterology,6198d9b3-b030-48cc-ab3f-1210765efd7e,4,FALSE
physician.gastroenterology.esophagusDisease,esophagusDisease,Esophagus Disease,aa8e45d0-7217-4b59-a9f4-192f5dbaeadc,5,FALSE
physician.gastroenterology.gastrointestinalCancer,gastrointestinalCancer,Gastrointestinal Cancer,173613fe-2b33-4063-b343-8a9d582c7a69,6,FALSE
physician.gastroenterology.gastrointestinalFunctionMotilityDisorders,gastrointestinalFunctionMotilityDisorders,Gastrointestinal Function & Motility Disorders,48afe9f9-6ca9-46b1-9b46-72c08ad0f9b7,7,FALSE
physician.gastroenterology.generalGastroenterology,generalGastroenterology,General Gastroenterology,843ff8b1-c233-4a76-98ae-47101e03d1d1,0,FALSE
physician.gastroenterology.hepatologyLiverTransplantation,hepatologyLiverTransplantation,Hepatology & Liver Transplantation,356705aa-34eb-4616-975d-a0fb8b01d35f,8,FALSE
physician.gastroenterology.inflammatoryBowelDisease,inflammatoryBowelDisease,Inflammatory Bowel Disease,3bfeecf8-e4b0-4e2f-95fe-6d20a58545b5,9,FALSE
physician.gastroenterology.malabsorption,malabsorption,Malabsorption,a7e4e827-bdbb-446f-a850-7c8f75182ba6,10,FALSE
physician.gastroenterology.nutrition,nutrition,Nutrition,0ad80995-04d9-43d1-a11e-d51e46b77d63,11,FALSE
physician.gastroenterology.pancreasDisease,pancreasDisease,Pancreas Disease,5c3f9e67-8e78-439d-a018-fc73a9df554c,12,FALSE
physician.generalSurgery,generalSurgery,General Surgery,d0a276f9-b15e-42cf-b2fd-bc6b015efdcc,12,FALSE
physician.generalSurgery.bariatricSurgery,bariatricSurgery,Bariatric Surgery,4240baea-73f2-4f95-87e5-e8f789eb8bed,1,FALSE
physician.generalSurgery.breast,breast,Breast,e0b48e12-f3f8-47df-9cf8-959bc671edac,2,FALSE
physician.generalSurgery.burn,burn,Burn,bfabb8e8-8db7-48ff-a8a8-d86213171dd4,3,FALSE
physician.generalSurgery.clinicalPharmacologyGeneralSurgery,clinicalPharmacologyGeneralSurgery,Clinical Pharmacology - General Surgery,7757657a-d151-483f-b538-8a2797125074,4,FALSE
physician.generalSurgery.colonRectalSurgery,colonRectalSurgery,Colon & Rectal Surgery,e14a90c6-90b4-471b-b972-7e8af91c1709,5,FALSE
physician.generalSurgery.endocrine,endocrine,Endocrine,5eab25d8-97c4-446e-8683-7f68b1074cf9,6,FALSE
physician.generalSurgery.generalSurgery,generalSurgery,General Surgery,727a342f-4ebe-422c-806b-01e11bb8caf6,0,FALSE
physician.generalSurgery.hand,hand,Hand,f0533299-1a18-48d1-af31-ce693376d56e,7,FALSE
physician.generalSurgery.hepatobiliarySurgery,hepatobiliarySurgery,Hepatobiliary Surgery,2ba976ea-b6aa-4eb3-8cda-fd057d2a30a0,8,FALSE
physician.generalSurgery.minimallyInvasiveSurgery,minimallyInvasiveSurgery,Minimally Invasive Surgery,543e6a9f-1ed5-473a-95b8-2e11bfccfa1c,10,FALSE
physician.generalSurgery.oralMaxillofacialSurgery,oralMaxillofacialSurgery,Oral & Maxillofacial Surgery,70d6a9aa-9ce3-4d94-b048-ac41b01a370e,11,FALSE
